key_idx,type,B_rest_max,B_chaos_max,B_press_max,B_SNR,L_rest_max,L_chaos_max,L_press_max,L_SNR
0,black,1.93,22.49,12.09,2.47,66.3,140.4,105.5,2.31
1,black,2.37,18.50,13.84,3.28,226.0,244.5,243.9,1.00
2,black,2.17,19.17,11.72,2.76,200.1,222.7,189.6,1.37
3,black,2.17,16.36,10.34,3.05,210.3,276.0,250.3,1.28
4,black,2.11,19.78,12.60,3.12,198.5,239.8,237.8,0.97
5,black,5.68,30.98,11.42,2.30,106.0,182.2,171.7,2.51
6,black,2.37,14.78,12.45,2.76,231.5,249.0,247.4,0.80
7,black,2.17,15.09,11.02,2.66,280.6,368.6,333.4,1.82
8,black,2.52,22.97,15.06,3.17,184.7,229.3,198.9,1.28
9,black,2.32,17.13,11.17,2.51,237.8,252.5,244.6,1.15
10,black,2.29,18.44,10.03,2.27,203.2,252.6,223.6,1.52
11,black,2.14,18.21,10.20,2.42,254.7,254.8,250.0,1.61
12,black,2.00,17.35,10.41,2.73,224.9,385.4,255.9,2.46
13,black,2.76,17.17,10.23,2.57,222.0,253.8,240.8,2.03
14,black,2.44,16.83,10.30,2.54,257.6,359.5,344.8,3.47
15,black,2.02,16.52,9.82,2.35,196.3,313.2,208.8,1.68
16,black,2.32,16.40,10.40,2.45,199.2,326.7,246.6,2.52
17,black,2.19,16.62,9.90,2.40,216.2,248.6,240.9,1.55
18,black,2.50,16.37,10.39,2.71,209.6,223.1,231.1,2.37
19,black,2.65,15.83,10.06,2.44,205.1,269.8,228.6,2.22
20,black,2.08,13.63,10.12,2.56,132.6,237.7,249.2,5.58
21,black,2.08,13.89,10.01,2.59,241.3,280.6,305.1,3.71
22,black,1.94,13.64,10.02,2.80,235.2,228.0,227.5,3.41
23,black,2.11,17.52,10.07,2.67,226.3,228.8,242.5,5.77
24,black,2.03,20.08,15.41,3.84,134.7,241.1,216.9,5.79
25,white,4.42,37.82,45.90,4.97,116.2,155.4,160.6,2.86
26,white,4.51,22.73,12.94,2.52,0.0,13.8,17.5,17.46
27,white,nan,nan,nan,nan,0.0,46.4,20.4,6.69
28,white,nan,nan,nan,nan,0.0,25.3,16.4,15.62
29,white,11.77,41.78,16.74,2.56,0.0,38.8,10.1,3.16
30,white,5.76,36.71,24.57,2.56,0.0,59.0,48.8,11.43
31,white,nan,nan,nan,nan,0.0,88.3,164.1,17.20
32,white,nan,nan,nan,nan,0.0,87.5,81.3,7.61
33,white,6.53,41.84,22.52,4.07,0.0,80.0,80.0,4.79
34,white,nan,nan,nan,nan,0.0,153.4,118.8,4.70
35,white,nan,nan,nan,nan,0.0,98.9,85.3,5.80
36,white,3.94,77.57,37.53,4.16,0.0,151.4,78.8,4.53
37,white,6.08,53.79,83.25,12.65,0.0,92.5,79.1,4.00
38,white,nan,nan,nan,nan,0.0,177.8,121.7,3.08
39,white,nan,nan,nan,nan,0.0,117.7,85.0,4.75
40,white,nan,nan,nan,nan,0.0,106.4,88.8,6.81
41,white,nan,nan,nan,nan,0.0,125.1,76.3,3.19
42,white,nan,nan,nan,nan,0.0,81.5,62.1,5.05
43,white,nan,nan,nan,nan,0.0,104.2,79.3,5.56
44,white,nan,nan,nan,nan,0.0,78.6,71.3,8.47
45,white,nan,nan,nan,nan,0.0,87.5,87.6,7.65
46,white,nan,nan,nan,nan,0.0,76.3,105.8,11.45
47,white,nan,nan,nan,nan,0.0,104.7,104.0,9.77
48,white,nan,nan,nan,nan,0.0,135.5,64.1,3.84
49,white,nan,nan,nan,nan,0.0,98.8,47.5,3.61
50,white,nan,nan,nan,nan,0.0,105.4,12.5,0.92
51,white,nan,nan,nan,nan,0.0,143.8,13.8,0.81
52,white,nan,nan,nan,nan,0.0,164.8,10.0,0.25
53,white,nan,nan,nan,nan,0.0,118.8,8.8,0.56
54,white,nan,nan,nan,nan,0.0,85.3,0.0,-0.24
55,white,nan,nan,nan,nan,0.0,137.9,31.4,1.53
56,white,nan,nan,nan,nan,0.0,133.8,23.5,1.70
57,white,nan,nan,nan,nan,0.0,63.9,29.0,7.92
58,white,nan,nan,nan,nan,0.0,66.4,30.4,8.48
59,white,nan,nan,nan,nan,0.0,90.0,57.3,11.20
60,white,nan,nan,nan,nan,0.0,81.5,35.5,7.52
